NIVNOME,TERCODIGO,TERNOME,TERNOMEPADRAO,TERCAPITAL,TERAREA,NIVAMC
AMC 91-00,412100,Querência do Norte,QUERENCIA DO NORTE,true,898.2,true
AMC 60-00,412100,Querência do Norte,QUERENCIA DO NORTE,true,898.2,true
Municípios,4121000,Querência do Norte,QUERENCIA DO NORTE,true,898.2,true
AMC 91-00,412110,Quinta do Sol,QUINTA DO SOL,true,327.9,true
AMC 70-00,412110,Quinta do Sol,QUINTA DO SOL,true,327.9,true
Municípios,4121109,Quinta do Sol,QUINTA DO SOL,true,327.9,true
AMC 70-00,412120,Quitandinha,QUITANDINHA,true,430.4,true
AMC 91-00,412120,Quitandinha,QUITANDINHA,true,430.4,true
Municípios,4121208,Quitandinha,QUITANDINHA,true,430.4,true
Municípios,4121257,Ramilândia,RAMILANDIA,true,246.7,true
AMC 91-00,412130,Rancho Alegre,RANCHO ALEGRE,true,169.3,true
AMC 70-00,412130,Rancho Alegre,RANCHO ALEGRE,true,169.3,true
Municípios,4121307,Rancho Alegre,RANCHO ALEGRE,true,169.3,true
Municípios,4121356,Rancho Alegre D'Oeste,RANCHO ALEGRE D'OESTE,true,245,true
AMC 70-00,412140,Realeza,REALEZA,true,354.9,true
AMC 91-00,412140,Realeza,REALEZA,true,354.9,true
Municípios,4121406,Realeza,REALEZA,true,354.9,true
AMC 40-00,412150,Rebouças,REBOUCAS,true,482.2,true
AMC 91-00,412150,Rebouças,REBOUCAS,true,482.2,true
AMC 60-00,412150,Rebouças,REBOUCAS,true,482.2,true
AMC 70-00,412150,Rebouças,REBOUCAS,true,482.2,true
Municípios,4121505,Rebouças,REBOUCAS,true,482.2,true
AMC 70-00,412160,Renascença,RENASCENCA,true,446.1,true
AMC 91-00,412160,Renascença,RENASCENCA,true,446.1,true
Municípios,4121604,Renascença,RENASCENCA,true,446.1,true
Municípios,4121703,Reserva,RESERVA,true,1686.3,true
Municípios,4121752,Reserva do Iguaçu,RESERVA DO IGUACU,true,836.5,true
AMC 40-00,412180,Ribeirão Claro,RIBEIRAO CLARO,true,629.1,true
AMC 20-00,412180,Ribeirão Claro,RIBEIRAO CLARO,true,629.1,true
AMC 91-00,412180,Ribeirão Claro,RIBEIRAO CLARO,true,629.1,true
AMC 60-00,412180,Ribeirão Claro,RIBEIRAO CLARO,true,629.1,true
AMC 70-00,412180,Ribeirão Claro,RIBEIRAO CLARO,true,629.1,true
Municípios,4121802,Ribeirão Claro,RIBEIRAO CLARO,true,629.1,true
AMC 70-00,412190,Ribeirão do Pinhal,RIBEIRAO DO PINHAL,true,373.9,true
AMC 60-00,412190,Ribeirão do Pinhal,RIBEIRAO DO PINHAL,true,373.9,true
AMC 91-00,412190,Ribeirão do Pinhal,RIBEIRAO DO PINHAL,true,373.9,true
Municípios,4121901,Ribeirão do Pinhal,RIBEIRAO DO PINHAL,true,373.9,true
AMC 40-00,412200,Rio Azul,RIO AZUL,true,594.2,true
AMC 91-00,412200,Rio Azul,RIO AZUL,true,594.2,true
AMC 60-00,412200,Rio Azul,RIO AZUL,true,594.2,true
AMC 70-00,412200,Rio Azul,RIO AZUL,true,594.2,true
Municípios,4122008,Rio Azul,RIO AZUL,true,594.2,true
AMC 70-00,412210,Rio Bom,RIO BOM,true,177.4,true
AMC 91-00,412210,Rio Bom,RIO BOM,true,177.4,true
Municípios,4122107,Rio Bom,RIO BOM,true,177.4,true
Municípios,4122156,Rio Bonito do Iguaçu,RIO BONITO DO IGUACU,true,701.4,true
Municípios,4122172,Rio Branco do Ivaí,RIO BRANCO DO IVAI,true,315.6,true
Municípios,4122206,Rio Branco do Sul,RIO BRANCO DO SUL,true,821.7,true
AMC 91-00,412230,Rio Negro,RIO NEGRO,true,604.6,true
AMC 70-00,412230,Rio Negro,RIO NEGRO,true,604.6,true
Municípios,4122305,Rio Negro,RIO NEGRO,true,604.6,true
Municípios,4122404,Rolândia,ROLANDIA,true,460,true
AMC 70-00,412250,Roncador,RONCADOR,true,716.1,true
AMC 91-00,412250,Roncador,RONCADOR,true,716.1,true
Municípios,4122503,Roncador,RONCADOR,true,716.1,true
AMC 91-00,412260,Rondon,RONDON,true,557.3,true
AMC 70-00,412260,Rondon,RONDON,true,557.3,true
Municípios,4122602,Rondon,RONDON,true,557.3,true
Municípios,4122651,Rosário do Ivaí,ROSARIO DO IVAI,true,446.3,true
AMC 70-00,412270,Sabáudia,SABAUDIA,true,190.9,true
AMC 91-00,412270,Sabáudia,SABAUDIA,true,190.9,true
AMC 60-00,412270,Sabáudia,SABAUDIA,true,190.9,true
Municípios,4122701,Sabáudia,SABAUDIA,true,190.9,true
Municípios,4122800,Salgado Filho,SALGADO FILHO,true,181.3,true
AMC 91-00,412290,Salto do Itararé,SALTO DO ITARARE,true,203.2,true
AMC 70-00,412290,Salto do Itararé,SALTO DO ITARARE,true,203.2,true
Municípios,4122909,Salto do Itararé,SALTO DO ITARARE,true,203.2,true
Municípios,4123006,Salto do Lontra,SALTO DO LONTRA,true,327.5,true
AMC 70-00,412310,Santa Amélia,SANTA AMELIA,true,81.3,true
AMC 91-00,412310,Santa Amélia,SANTA AMELIA,true,81.3,true
AMC 60-00,412310,Santa Amélia,SANTA AMELIA,true,81.3,true
Municípios,4123105,Santa Amélia,SANTA AMELIA,true,81.3,true
Municípios,4123204,Santa Cecília do Pavão,SANTA CECILIA DO PAVAO,true,107.6,true
AMC 60-00,412330,Santa Cruz de Monte Castelo,SANTA CRUZ DE MONTE CASTELO,true,445.6,true
AMC 91-00,412330,Santa Cruz de Monte Castelo,SANTA CRUZ DE MONTE CASTELO,true,445.6,true
AMC 70-00,412330,Santa Cruz de Monte Castelo,SANTA CRUZ DE MONTE CASTELO,true,445.6,true
Municípios,4123303,Santa Cruz de Monte Castelo,SANTA CRUZ DE MONTE CASTELO,true,445.6,true
AMC 70-00,412340,Santa Fé,SANTA FE,true,277.8,true
AMC 91-00,412340,Santa Fé,SANTA FE,true,277.8,true
Municípios,4123402,Santa Fé,SANTA FE,true,277.8,true
AMC 91-00,412350,Santa Helena,SANTA HELENA,true,754.7,true
Municípios,4123501,Santa Helena,SANTA HELENA,true,754.7,true
AMC 91-00,412360,Santa Inês,SANTA INES,true,127.6,true
AMC 70-00,412360,Santa Inês,SANTA INES,true,127.6,true
Municípios,4123600,Santa Inês,SANTA INES,true,127.6,true
Municípios,4123709,Santa Isabel do Ivaí,SANTA ISABEL DO IVAI,true,348.3,true
AMC 70-00,412380,Santa Izabel do Oeste,SANTA IZABEL DO OESTE,true,321.9,true
AMC 91-00,412380,Santa Izabel do Oeste,SANTA IZABEL DO OESTE,true,321.9,true
Municípios,4123808,Santa Izabel do Oeste,SANTA IZABEL DO OESTE,true,321.9,true
Municípios,4123824,Santa Lúcia,SANTA LUCIA,true,172.9,true
Municípios,4123857,Santa Maria do Oeste,SANTA MARIA DO OESTE,true,848.8,true
AMC 91-00,412390,Santa Mariana,SANTA MARIANA,true,424.9,true
AMC 60-00,412390,Santa Mariana,SANTA MARIANA,true,424.9,true
AMC 70-00,412390,Santa Mariana,SANTA MARIANA,true,424.9,true
Municípios,4123907,Santa Mariana,SANTA MARIANA,true,424.9,true
Municípios,4123956,Santa Mônica,SANTA MONICA,true,260.1,true
AMC 70-00,412400,Santana do Itararé,SANTANA DO ITARARE,true,252.5,true
AMC 91-00,412400,Santana do Itararé,SANTANA DO ITARARE,true,252.5,true
Municípios,4124004,Santana do Itararé,SANTANA DO ITARARE,true,252.5,true
AMC 91-00,412402,Santa Tereza do Oeste,SANTA TEREZA DO OESTE,true,348.7,true
Municípios,4124020,Santa Tereza do Oeste,SANTA TEREZA DO OESTE,true,348.7,true
AMC 91-00,412405,Santa Terezinha de Itaipu,SANTA TEREZINHA DE ITAIPU,true,289,true
Municípios,4124053,Santa Terezinha de Itaipu,SANTA TEREZINHA DE ITAIPU,true,289,true
